city,date,dl_applied,eliminator,overs,player_of_match,result,season,team1,team2,toss_decision,toss_winner,umpire1,umpire2,umpire3,venue,win_by_runs,win_by_wickets,winner
Delhi,2011-04-28,,,20,MK Tiwary,,2011,Delhi Daredevils,Kolkata Knight Riders,field,Delhi Daredevils,PR Reiffel,RJ Tucker,,Feroz Shah Kotla,17,,Kolkata Knight Riders
Pune,2017-05-14,,,20,JD Unadkat,,2017,Rising Pune Supergiant,Kings XI Punjab,field,Rising Pune Supergiant,AY Dandekar,A Deshmukh,,Maharashtra Cricket Association Stadium,,9,Rising Pune Supergiant
Rajkot,2017-04-18,,,20,CH Gayle,,2017,Gujarat Lions,Royal Challengers Bangalore,field,Gujarat Lions,S Ravi,VK Sharma,,Saurashtra Cricket Association Stadium,21,,Royal Challengers Bangalore
Bangalore,2008-04-18,,,20,BB McCullum,,2008,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,Asad Rauf,RE Koertzen,,M Chinnaswamy Stadium,140,,Kolkata Knight Riders
Ranchi,2014-05-18,,,20,AB de Villiers,,2014,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,BNJ Oxenford,C Shamshuddin,,JSCA International Stadium Complex,,5,Royal Challengers Bangalore
Mumbai,2011-05-19,,,20,YK Pathan,,2011,Pune Warriors,Kolkata Knight Riders,field,Kolkata Knight Riders,S Ravi,SJA Taufel,,Dr DY Patil Sports Academy,,7,Kolkata Knight Riders
Mumbai,2011-05-02,,,20,KA Pollard,,2011,Mumbai Indians,Kings XI Punjab,field,Kings XI Punjab,HDPK Dharmasena,PR Reiffel,,Wankhede Stadium,23,,Mumbai Indians
Kolkata,2018-04-08,,,20,SP Narine,,2018,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,C Shamshuddin,A Deshmukh,,Eden Gardens,,4,Kolkata Knight Riders
Hyderabad,2016-04-30,,,20,DA Warner,,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,AK Chaudhary,HDPK Dharmasena,,"Rajiv Gandhi International Stadium, Uppal",15,,Sunrisers Hyderabad
,2014-04-30,,,20,B Kumar,,2014,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,HDPK Dharmasena,M Erasmus,,Dubai International Cricket Stadium,15,,Sunrisers Hyderabad
Chandigarh,2008-05-12,,,20,SE Marsh,,2008,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,BR Doctrove,I Shivram,,"Punjab Cricket Association Stadium, Mohali",,9,Kings XI Punjab
Mumbai,2010-03-12,,,20,AD Mathews,,2010,Deccan Chargers,Kolkata Knight Riders,field,Deccan Chargers,RE Koertzen,RB Tiffin,,Dr DY Patil Sports Academy,11,,Kolkata Knight Riders
Chennai,2010-04-13,,,20,R Ashwin,,2010,Chennai Super Kings,Kolkata Knight Riders,bat,Kolkata Knight Riders,SS Hazare,SJA Taufel,,"MA Chidambaram Stadium, Chepauk",,9,Chennai Super Kings
Mumbai,2016-04-09,,,20,AM Rahane,,2016,Mumbai Indians,Rising Pune Supergiants,bat,Mumbai Indians,HDPK Dharmasena,CK Nandan,,Wankhede Stadium,,9,Rising Pune Supergiants
Hyderabad,2018-04-09,,,20,S Dhawan,,2018,Sunrisers Hyderabad,Rajasthan Royals,field,Sunrisers Hyderabad,VA Kulkarni,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal",,9,Sunrisers Hyderabad
Raipur,2015-05-12,,,20,Z Khan,,2015,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,RK Illingworth,VA Kulkarni,,Shaheed Veer Narayan Singh International Stadium,,6,Delhi Daredevils
Jaipur,2008-05-09,,,20,YK Pathan,,2008,Rajasthan Royals,Deccan Chargers,field,Rajasthan Royals,MR Benson,AM Saheba,,Sawai Mansingh Stadium,,8,Rajasthan Royals
Jaipur,2010-04-14,,,20,KP Pietersen,,2010,Rajasthan Royals,Royal Challengers Bangalore,bat,Rajasthan Royals,BR Doctrove,S Ravi,,Sawai Mansingh Stadium,,5,Royal Challengers Bangalore
Chandigarh,2017-04-30,,,20,Sandeep Sharma,,2017,Kings XI Punjab,Delhi Daredevils,field,Kings XI Punjab,YC Barde,CK Nandan,,"Punjab Cricket Association IS Bindra Stadium, Mohali",,10,Kings XI Punjab
Hyderabad,2012-05-10,,,20,DA Warner,,2012,Deccan Chargers,Delhi Daredevils,bat,Deccan Chargers,JD Cloete,SJA Taufel,,"Rajiv Gandhi International Stadium, Uppal",,9,Delhi Daredevils
Indore,2011-05-13,,,20,KD Karthik,,2011,Kochi Tuskers Kerala,Kings XI Punjab,field,Kings XI Punjab,S Asnani,RJ Tucker,,Holkar Cricket Stadium,,6,Kings XI Punjab
Bangalore,2015-04-19,,,20,Harbhajan Singh,,2015,Royal Challengers Bangalore,Mumbai Indians,field,Royal Challengers Bangalore,RK Illingworth,VA Kulkarni,,M Chinnaswamy Stadium,18,,Mumbai Indians
Delhi,2011-04-10,,,20,SL Malinga,,2011,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,AM Saheba,RB Tiffin,,Feroz Shah Kotla,,8,Mumbai Indians
Chandigarh,2014-05-21,,,20,LMP Simmons,,2014,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,HDPK Dharmasena,VA Kulkarni,,"Punjab Cricket Association Stadium, Mohali",,7,Mumbai Indians
Bangalore,2017-04-27,,,20,AJ Tye,,2017,Royal Challengers Bangalore,Gujarat Lions,field,Gujarat Lions,AK Chaudhary,C Shamshuddin,,M Chinnaswamy Stadium,,7,Gujarat Lions
Bangalore,2013-04-09,,,20,V Kohli,,2013,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,S Ravi,SJA Taufel,,M Chinnaswamy Stadium,,7,Royal Challengers Bangalore
Chennai,2015-04-28,,,20,DJ Bravo,,2015,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,RM Deshpande,VA Kulkarni,,"MA Chidambaram Stadium, Chepauk",2,,Chennai Super Kings
Chennai,2011-05-12,,,20,MS Dhoni,,2011,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings,AM Saheba,SL Shastri,,"MA Chidambaram Stadium, Chepauk",18,,Chennai Super Kings
Chandigarh,2011-04-13,,,20,PC Valthaty,,2011,Kings XI Punjab,Chennai Super Kings,field,Kings XI Punjab,Asad Rauf,SL Shastri,,"Punjab Cricket Association Stadium, Mohali",,6,Kings XI Punjab
Delhi,2010-03-17,,,20,SR Tendulkar,,2010,Delhi Daredevils,Mumbai Indians,field,Delhi Daredevils,BR Doctrove,SK Tarapore,,Feroz Shah Kotla,98,,Mumbai Indians
Nagpur,2010-04-05,,,20,SK Warne,,2010,Deccan Chargers,Rajasthan Royals,bat,Rajasthan Royals,HDPK Dharmasena,SJA Taufel,,"Vidarbha Cricket Association Stadium, Jamtha",2,,Rajasthan Royals
Mumbai,2008-05-04,,,20,SM Pollock,,2008,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,IL Howell,RE Koertzen,,Dr DY Patil Sports Academy,29,,Mumbai Indians
Abu Dhabi,2014-04-26,,,20,PV Tambe,,2014,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,HDPK Dharmasena,C Shamshuddin,,Sheikh Zayed Stadium,,6,Rajasthan Royals
Chandigarh,2016-04-25,,,20,PA Patel,,2016,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab,Nitin Menon,RJ Tucker,,"Punjab Cricket Association IS Bindra Stadium, Mohali",25,,Mumbai Indians
Bengaluru,2018-04-15,,,20,SV Samson,,2018,Royal Challengers Bangalore,Rajasthan Royals,field,Royal Challengers Bangalore,C Shamshuddin,S Ravi,,M.Chinnaswamy Stadium,19,,Rajasthan Royals
Kolkata,2010-03-16,,,20,MS Dhoni,,2010,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,HDPK Dharmasena,AM Saheba,,Eden Gardens,55,,Chennai Super Kings
Chandigarh,2010-04-09,,,20,KC Sangakkara,,2010,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians,M Erasmus,AM Saheba,,"Punjab Cricket Association Stadium, Mohali",,6,Kings XI Punjab
Bangalore,2015-05-17,,,20,,no result,2015,Royal Challengers Bangalore,Delhi Daredevils,field,Royal Challengers Bangalore,HDPK Dharmasena,K Srinivasan,,M Chinnaswamy Stadium,,,
Chandigarh,2008-05-03,,,20,IK Pathan,,2008,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab,DJ Harper,I Shivram,,"Punjab Cricket Association Stadium, Mohali",9,,Kings XI Punjab
Port Elizabeth,2009-05-10,,,20,JP Duminy,,2009,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,BR Doctrove,BG Jerling,,St George's Park,16,,Mumbai Indians
Chandigarh,2018-04-19,,,20,CH Gayle,,2018,Kings XI Punjab,Sunrisers Hyderabad,bat,Kings XI Punjab,NJ Llong,AK Chaudhary,,"Punjab Cricket Association IS Bindra Stadium, Mohali",15,,Kings XI Punjab
Bengaluru,2018-04-29,,,20,CA Lynn,,2018,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,NJ Llong,AK Chaudhary,,M.Chinnaswamy Stadium,,6,Kolkata Knight Riders
Delhi,2016-04-15,,,20,A Mishra,,2016,Delhi Daredevils,Kings XI Punjab,field,Delhi Daredevils,S Ravi,C Shamshuddin,,Feroz Shah Kotla,,8,Delhi Daredevils
Bangalore,2013-04-11,,,20,CH Gayle,,2013,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,Asad Rauf,AK Chaudhary,,M Chinnaswamy Stadium,,8,Royal Challengers Bangalore
Bangalore,2014-05-04,,,20,AB de Villiers,,2014,Royal Challengers Bangalore,Sunrisers Hyderabad,field,Royal Challengers Bangalore,HDPK Dharmasena,VA Kulkarni,,M Chinnaswamy Stadium,,4,Royal Challengers Bangalore
Mumbai,2011-05-07,,,20,AT Rayudu,,2011,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,K Hariharan,SJA Taufel,,Wankhede Stadium,32,,Mumbai Indians
Mumbai,2011-04-17,,,20,Yuvraj Singh,,2011,Pune Warriors,Delhi Daredevils,field,Delhi Daredevils,Asad Rauf,AM Saheba,,Dr DY Patil Sports Academy,,3,Delhi Daredevils
Pune,2015-04-15,,,20,MA Agarwal,,2015,Kings XI Punjab,Delhi Daredevils,bat,Kings XI Punjab,CB Gaffaney,K Srinath,,Maharashtra Cricket Association Stadium,,5,Delhi Daredevils
Kolkata,2014-05-24,,,20,YK Pathan,,2014,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,RM Deshpande,BNJ Oxenford,,Eden Gardens,,4,Kolkata Knight Riders
Hyderabad,2017-05-06,,,20,JD Unadkat,,2017,Sunrisers Hyderabad,Rising Pune Supergiant,field,Sunrisers Hyderabad,KN Ananthapadmanabhan,AK Chaudhary,,"Rajiv Gandhi International Stadium, Uppal",12,,Rising Pune Supergiant
Mumbai,2011-05-04,,,20,R Sharma,,2011,Pune Warriors,Mumbai Indians,field,Pune Warriors,HDPK Dharmasena,SJA Taufel,,Dr DY Patil Sports Academy,21,,Mumbai Indians
Mumbai,2015-05-03,,,20,AM Rahane,,2015,Rajasthan Royals,Delhi Daredevils,field,Delhi Daredevils,HDPK Dharmasena,CB Gaffaney,,Brabourne Stadium,14,,Rajasthan Royals
Kolkata,2011-04-17,,,20,L Balaji,,2011,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,Aleem Dar,RB Tiffin,,Eden Gardens,,8,Kolkata Knight Riders
Cape Town,2009-04-22,,,20,AC Gilchrist,,2009,Royal Challengers Bangalore,Deccan Chargers,bat,Deccan Chargers,M Erasmus,AM Saheba,,Newlands,24,,Deccan Chargers
Kolkata,2018-05-25,,,20,Rashid Khan,,2018,Kolkata Knight Riders,Sunrisers Hyderabad,field,Kolkata Knight Riders,HDPK Dharmasena,Nitin Menon,,Eden Gardens,14,,Sunrisers Hyderabad
Delhi,2012-05-15,,,20,UT Yadav,,2012,Delhi Daredevils,Kings XI Punjab,bat,Kings XI Punjab,HDPK Dharmasena,BNJ Oxenford,,Feroz Shah Kotla,,5,Delhi Daredevils
Bangalore,2017-05-05,,,20,Sandeep Sharma,,2017,Royal Challengers Bangalore,Kings XI Punjab,field,Royal Challengers Bangalore,CB Gaffaney,C Shamshuddin,,M Chinnaswamy Stadium,19,,Kings XI Punjab
Mumbai,2018-04-24,,,20,Rashid Khan,,2018,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,C Shamshuddin,S Ravi,,Wankhede Stadium,31,,Sunrisers Hyderabad
Chandigarh,2016-04-17,,,20,M Vohra,,2016,Kings XI Punjab,Rising Pune Supergiants,bat,Rising Pune Supergiants,S Ravi,C Shamshuddin,,"Punjab Cricket Association IS Bindra Stadium, Mohali",,6,Kings XI Punjab
Centurion,2009-05-06,,,20,RG Sharma,,2009,Deccan Chargers,Mumbai Indians,bat,Deccan Chargers,MR Benson,HDPK Dharmasena,,SuperSport Park,19,,Deccan Chargers
Chennai,2019-03-31,,,20,MS Dhoni,,2019,Chennai Super Kings,Rajasthan Royals,field,Rajasthan Royals,YC Barde,CK Nandan,,"MA Chidambaram Stadium, Chepauk",8,,Chennai Super Kings
Pune,2015-05-20,,,20,AB de Villiers,,2015,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,AK Chaudhary,C Shamshuddin,,Maharashtra Cricket Association Stadium,71,,Royal Challengers Bangalore
Delhi,2008-05-08,,,20,MS Dhoni,,2008,Delhi Daredevils,Chennai Super Kings,field,Chennai Super Kings,Aleem Dar,RB Tiffin,,Feroz Shah Kotla,,4,Chennai Super Kings
Mumbai,2010-03-20,,,20,JH Kallis,,2010,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,HDPK Dharmasena,SS Hazare,,Brabourne Stadium,,7,Royal Challengers Bangalore
Delhi,2016-05-25,,,20,MC Henriques,,2016,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,M Erasmus,C Shamshuddin,,Feroz Shah Kotla,22,,Sunrisers Hyderabad
Bengaluru,2018-04-25,,,20,MS Dhoni,,2018,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,NJ Llong,VK Sharma,,M.Chinnaswamy Stadium,,5,Chennai Super Kings
East London,2009-05-08,,,20,A Nehra,,2009,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,M Erasmus,SK Tarapore,,Buffalo Park,,7,Delhi Daredevils
,2014-04-19,,,20,PA Patel,,2014,Royal Challengers Bangalore,Mumbai Indians,field,Royal Challengers Bangalore,Aleem Dar,AK Chaudhary,,Dubai International Cricket Stadium,,7,Royal Challengers Bangalore
Delhi,2019-03-26,,,20,SR Watson,,2019,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,M Erasmus,Nitin Menon,,Feroz Shah Kotla,,6,Chennai Super Kings
Chandigarh,2017-05-09,,,20,MM Sharma,,2017,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,A Nand Kishore,S Ravi,,"Punjab Cricket Association IS Bindra Stadium, Mohali",14,,Kings XI Punjab
Jaipur,2012-04-23,,,20,AB de Villiers,,2012,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,Asad Rauf,S Asnani,,Sawai Mansingh Stadium,46,,Royal Challengers Bangalore
Kolkata,2012-05-12,,,20,RG Sharma,,2012,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,S Ravi,SJA Taufel,,Eden Gardens,27,,Mumbai Indians
Jaipur,2018-05-19,,,20,S Gopal,,2018,Rajasthan Royals,Royal Challengers Bangalore,bat,Rajasthan Royals,BNJ Oxenford,VK Sharma,,Sawai Mansingh Stadium,30,,Rajasthan Royals
Cape Town,2009-04-18,,,20,R Dravid,,2009,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,BR Doctrove,RB Tiffin,,Newlands,75,,Royal Challengers Bangalore
Mumbai,2013-05-07,,,20,SR Tendulkar,,2013,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,HDPK Dharmasena,S Ravi,,Wankhede Stadium,65,,Mumbai Indians
Jaipur,2013-04-08,,,20,SK Trivedi,,2013,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,Aleem Dar,S Das,,Sawai Mansingh Stadium,19,,Rajasthan Royals
Delhi,2014-05-07,,,20,G Gambhir,,2014,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,BNJ Oxenford,C Shamshuddin,,Feroz Shah Kotla,,8,Kolkata Knight Riders
Hyderabad,2018-05-19,,,20,CA Lynn,,2018,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Sunrisers Hyderabad,AK Chaudhary,S Ravi,,"Rajiv Gandhi International Stadium, Uppal",,5,Kolkata Knight Riders
Chandigarh,2012-04-20,,,20,CH Gayle,,2012,Kings XI Punjab,Royal Challengers Bangalore,field,Royal Challengers Bangalore,S Ravi,RJ Tucker,,"Punjab Cricket Association Stadium, Mohali",,5,Royal Challengers Bangalore
Chennai,2012-05-12,,,20,BW Hilfenhaus,,2012,Chennai Super Kings,Delhi Daredevils,field,Chennai Super Kings,S Das,BR Doctrove,,"MA Chidambaram Stadium, Chepauk",,9,Chennai Super Kings
Port Elizabeth,2009-04-20,,,20,M Muralitharan,,2009,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,BG Jerling,SJA Taufel,,St George's Park,92,,Chennai Super Kings
Kolkata,2011-04-20,,,20,DPMD Jayawardene,,2011,Kolkata Knight Riders,Kochi Tuskers Kerala,field,Kolkata Knight Riders,Aleem Dar,RB Tiffin,,Eden Gardens,6,,Kochi Tuskers Kerala
Ranchi,2013-05-12,,,20,JH Kallis,,2013,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,NJ Llong,K Srinath,,JSCA International Stadium Complex,,5,Kolkata Knight Riders
Bangalore,2015-05-06,,,20,CH Gayle,,2015,Royal Challengers Bangalore,Kings XI Punjab,field,Kings XI Punjab,RK Illingworth,VA Kulkarni,,M Chinnaswamy Stadium,138,,Royal Challengers Bangalore
Chennai,2013-04-06,,,20,KA Pollard,,2013,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,M Erasmus,VA Kulkarni,,"MA Chidambaram Stadium, Chepauk",9,,Mumbai Indians
Bengaluru,2018-05-01,,,20,TG Southee,,2018,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,M Erasmus,Nitin Menon,,M.Chinnaswamy Stadium,14,,Royal Challengers Bangalore
Durban,2009-04-29,,,20,KC Sangakkara,,2009,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,MR Benson,SL Shastri,,Kingsmead,3,,Kings XI Punjab
Dharamsala,2010-04-18,,,20,MS Dhoni,,2010,Kings XI Punjab,Chennai Super Kings,field,Chennai Super Kings,BF Bowden,AM Saheba,,Himachal Pradesh Cricket Association Stadium,,6,Chennai Super Kings
,2014-04-22,,,20,GJ Maxwell,,2014,Kings XI Punjab,Sunrisers Hyderabad,field,Sunrisers Hyderabad,M Erasmus,S Ravi,,Sharjah Cricket Stadium,72,,Kings XI Punjab
Bengaluru,2019-04-05,,,20,AD Russell,,2019,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,CB Gaffaney,AK Chaudhary,,M.Chinnaswamy Stadium,,5,Kolkata Knight Riders
Hyderabad,2018-05-05,,,20,Rashid Khan,,2018,Sunrisers Hyderabad,Delhi Daredevils,bat,Delhi Daredevils,BNJ Oxenford,CK Nandan,,"Rajiv Gandhi International Stadium, Uppal",,7,Sunrisers Hyderabad
Bangalore,2016-05-02,,,20,AD Russell,,2016,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,M Erasmus,S Ravi,,M Chinnaswamy Stadium,,5,Kolkata Knight Riders
Kanpur,2016-05-21,,,20,SK Raina,,2016,Gujarat Lions,Mumbai Indians,field,Gujarat Lions,AK Chaudhary,CK Nandan,,Green Park,,6,Gujarat Lions
Mumbai,2018-04-14,,,20,JJ Roy,,2018,Mumbai Indians,Delhi Daredevils,field,Delhi Daredevils,KN Ananthapadmanabhan,Nitin Menon,,Wankhede Stadium,,7,Delhi Daredevils
Port Elizabeth,2009-05-03,,,20,DPMD Jayawardene,,2009,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders,S Asnani,MR Benson,,St George's Park,,6,Kings XI Punjab
Mumbai,2011-05-16,,,20,A Mishra,,2011,Pune Warriors,Deccan Chargers,field,Deccan Chargers,S Ravi,SK Tarapore,,Dr DY Patil Sports Academy,,6,Deccan Chargers
Pune,2013-05-02,,,20,AB de Villiers,,2013,Pune Warriors,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Aleem Dar,C Shamshuddin,,Subrata Roy Sahara Stadium,17,,Royal Challengers Bangalore
Bangalore,2013-04-16,,Royal Challengers Bangalore,20,V Kohli,tie,2013,Royal Challengers Bangalore,Delhi Daredevils,field,Royal Challengers Bangalore,M Erasmus,VA Kulkarni,,M Chinnaswamy Stadium,,,
Cuttack,2014-05-11,,,20,G Gambhir,,2014,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,NJ Llong,CK Nandan,,Barabati Stadium,,9,Kolkata Knight Riders
Kolkata,2018-05-09,,,20,Ishan Kishan,,2018,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,KN Ananthapadmanabhan,A Chaudhary,A Chaudary,Eden Gardens,102,,Mumbai Indians
Bangalore,2012-04-15,,,20,AM Rahane,,2012,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,JD Cloete,RJ Tucker,,M Chinnaswamy Stadium,59,,Rajasthan Royals
Dharamsala,2012-05-17,,,20,AC Gilchrist,,2012,Kings XI Punjab,Chennai Super Kings,field,Kings XI Punjab,VA Kulkarni,SK Tarapore,,Himachal Pradesh Cricket Association Stadium,,6,Kings XI Punjab
Cape Town,2009-04-23,,Rajasthan Royals,20,YK Pathan,tie,2009,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,MR Benson,M Erasmus,,Newlands,,,
Bangalore,2013-05-14,,,20,AC Gilchrist,,2013,Royal Challengers Bangalore,Kings XI Punjab,field,Kings XI Punjab,HDPK Dharmasena,S Ravi,,M Chinnaswamy Stadium,,7,Kings XI Punjab
Chennai,2015-05-10,,,20,RA Jadeja,,2015,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,M Erasmus,CK Nandan,,"MA Chidambaram Stadium, Chepauk",12,,Chennai Super Kings
Delhi,2013-04-12,,,20,A Mishra,,2013,Delhi Daredevils,Sunrisers Hyderabad,bat,Delhi Daredevils,Aleem Dar,Subroto Das,,Feroz Shah Kotla,,3,Sunrisers Hyderabad
Kolkata,2012-04-15,,,20,SP Narine,,2012,Kolkata Knight Riders,Kings XI Punjab,field,Kolkata Knight Riders,Asad Rauf,S Asnani,,Eden Gardens,2,,Kings XI Punjab
Hyderabad,2012-05-20,,,20,DW Steyn,,2012,Deccan Chargers,Royal Challengers Bangalore,field,Royal Challengers Bangalore,S Ravi,SJA Taufel,,"Rajiv Gandhi International Stadium, Uppal",9,,Deccan Chargers
Pune,2018-05-13,,,20,AT Rayudu,,2018,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,M Erasmus,YC Barde,,Maharashtra Cricket Association Stadium,,8,Chennai Super Kings
Port Elizabeth,2009-04-27,,,20,SR Tendulkar,,2009,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,BG Jerling,RB Tiffin,,St George's Park,92,,Mumbai Indians
Centurion,2009-05-18,,,20,BJ Hodge,,2009,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,SJA Taufel,RB Tiffin,,SuperSport Park,,7,Kolkata Knight Riders
Centurion,2009-05-21,,,20,MK Pandey,,2009,Royal Challengers Bangalore,Deccan Chargers,bat,Royal Challengers Bangalore,IL Howell,S Ravi,,SuperSport Park,12,,Royal Challengers Bangalore
Visakhapatnam,2016-05-17,D/L,,20,AB Dinda,,2016,Rising Pune Supergiants,Delhi Daredevils,field,Rising Pune Supergiants,Nitin Menon,C Shamshuddin,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,19,,Rising Pune Supergiants
Mumbai,2011-05-24,,,20,SK Raina,,2011,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,Asad Rauf,SJA Taufel,,Wankhede Stadium,,6,Chennai Super Kings
Kolkata,2013-05-26,,,20,KA Pollard,,2013,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,HDPK Dharmasena,SJA Taufel,,Eden Gardens,23,,Mumbai Indians
Chennai,2013-04-22,,,20,MEK Hussey,,2013,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,S Asnani,AK Chaudhary,,"MA Chidambaram Stadium, Chepauk",,5,Chennai Super Kings
Delhi,2014-05-19,,,20,AR Patel,,2014,Delhi Daredevils,Kings XI Punjab,field,Kings XI Punjab,HDPK Dharmasena,PG Pathak,,Feroz Shah Kotla,,4,Kings XI Punjab
Hyderabad,2008-04-22,,,20,V Sehwag,,2008,Deccan Chargers,Delhi Daredevils,bat,Deccan Chargers,IL Howell,AM Saheba,,"Rajiv Gandhi International Stadium, Uppal",,9,Delhi Daredevils
Jaipur,2019-04-11,,,20,MS Dhoni,,2019,Rajasthan Royals,Chennai Super Kings,field,Chennai Super Kings,UV Gandhe,BNJ Oxenford,,Sawai Mansingh Stadium,,4,Chennai Super Kings
Bangalore,2012-04-10,,,20,L Balaji,,2012,Royal Challengers Bangalore,Kolkata Knight Riders,field,Royal Challengers Bangalore,S Ravi,RJ Tucker,,M Chinnaswamy Stadium,42,,Kolkata Knight Riders
Hyderabad,2013-04-19,,,20,GH Vihari,,2013,Sunrisers Hyderabad,Kings XI Punjab,bat,Kings XI Punjab,HDPK Dharmasena,CK Nandan,,"Rajiv Gandhi International Stadium, Uppal",,5,Sunrisers Hyderabad
Chandigarh,2015-04-27,,,20,TA Boult,,2015,Kings XI Punjab,Sunrisers Hyderabad,field,Kings XI Punjab,HDPK Dharmasena,CB Gaffaney,,"Punjab Cricket Association Stadium, Mohali",20,,Sunrisers Hyderabad
Bangalore,2017-05-17,D/L,,20,NM Coulter-Nile,,2017,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,AK Chaudhary,Nitin Menon,,M Chinnaswamy Stadium,,7,Kolkata Knight Riders
Jaipur,2012-04-08,,,20,BJ Hodge,,2012,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,BF Bowden,VA Kulkarni,,Sawai Mansingh Stadium,22,,Rajasthan Royals
Chennai,2012-04-30,,,20,G Gambhir,,2012,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,BF Bowden,C Shamshuddin,,"MA Chidambaram Stadium, Chepauk",,5,Kolkata Knight Riders
Chandigarh,2019-04-16,,,20,R Ashwin,,2019,Kings XI Punjab,Rajasthan Royals,field,Rajasthan Royals,VA Kulkarni,AK Chaudhary,,"Punjab Cricket Association IS Bindra Stadium, Mohali",12,,Kings XI Punjab
Chennai,2019-03-23,,,20,Harbhajan Singh,,2019,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,AY Dandekar,BNJ Oxenford,,"MA Chidambaram Stadium, Chepauk",,7,Chennai Super Kings
