city,date,dl_applied,eliminator,overs,player_of_match,result,season,team1,team2,toss_decision,toss_winner,umpire1,umpire2,umpire3,venue,win_by_runs,win_by_wickets,winner
Ranchi,2015-05-22,,,20,A Nehra,,2015,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,AK Chaudhary,CB Gaffaney,,JSCA International Stadium Complex,,3,Chennai Super Kings
Chennai,2010-03-21,,Kings XI Punjab,20,J Theron,tie,2010,Chennai Super Kings,Kings XI Punjab,field,Chennai Super Kings,K Hariharan,DJ Harper,,"MA Chidambaram Stadium, Chepauk",,,
Bangalore,2016-04-17,,,20,Q de Kock,,2016,Royal Challengers Bangalore,Delhi Daredevils,field,Delhi Daredevils,VA Kulkarni,A Nand Kishore,,M Chinnaswamy Stadium,,7,Delhi Daredevils
Hyderabad,2017-04-05,,,20,Yuvraj Singh,,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,field,Royal Challengers Bangalore,AY Dandekar,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal",35,,Sunrisers Hyderabad
Kolkata,2011-05-07,D/L,,20,Iqbal Abdulla,,2011,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,Asad Rauf,PR Reiffel,,Eden Gardens,10,,Kolkata Knight Riders
Hyderabad,2015-05-02,,,20,DA Warner,,2015,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,AK Chaudhary,K Srinivasan,,"Rajiv Gandhi International Stadium, Uppal",22,,Sunrisers Hyderabad
Mumbai,2011-04-15,,,20,BB McCullum,,2011,Mumbai Indians,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,BR Doctrove,PR Reiffel,,Wankhede Stadium,,8,Kochi Tuskers Kerala
Chandigarh,2017-05-07,,,20,DR Smith,,2017,Kings XI Punjab,Gujarat Lions,field,Gujarat Lions,A Nand Kishore,VK Sharma,,"Punjab Cricket Association IS Bindra Stadium, Mohali",,6,Gujarat Lions
Chandigarh,2014-05-23,,,20,SE Marsh,,2014,Kings XI Punjab,Rajasthan Royals,field,Rajasthan Royals,HDPK Dharmasena,PG Pathak,,"Punjab Cricket Association Stadium, Mohali",16,,Kings XI Punjab
Mumbai,2014-05-03,,,20,CJ Anderson,,2014,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab,BNJ Oxenford,C Shamshuddin,,Wankhede Stadium,,5,Mumbai Indians
Kochi,2011-05-05,,,20,BJ Hodge,,2011,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Kolkata Knight Riders,S Ravi,RJ Tucker,,Nehru Stadium,17,,Kochi Tuskers Kerala
Ahmedabad,2015-04-14,,,20,SPD Smith,,2015,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians,AK Chaudhary,SD Fry,,"Sardar Patel Stadium, Motera",,7,Rajasthan Royals
Delhi,2013-04-23,,,20,Harmeet Singh,,2013,Delhi Daredevils,Kings XI Punjab,field,Kings XI Punjab,VA Kulkarni,K Srinath,,Feroz Shah Kotla,,5,Kings XI Punjab
Delhi,2017-05-02,,,20,Mohammed Shami,,2017,Delhi Daredevils,Sunrisers Hyderabad,field,Delhi Daredevils,YC Barde,Nitin Menon,,Feroz Shah Kotla,,6,Delhi Daredevils
Cuttack,2010-03-19,,,20,A Symonds,,2010,Deccan Chargers,Kings XI Punjab,field,Kings XI Punjab,BF Bowden,M Erasmus,,Barabati Stadium,6,,Deccan Chargers
Chennai,2010-04-06,,,20,SK Raina,,2010,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,S Asnani,DJ Harper,,"MA Chidambaram Stadium, Chepauk",24,,Chennai Super Kings
Mumbai,2015-05-19,,,20,KA Pollard,,2015,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,HDPK Dharmasena,RK Illingworth,,Wankhede Stadium,25,,Mumbai Indians
Chennai,2008-05-06,,,20,AC Gilchrist,,2008,Chennai Super Kings,Deccan Chargers,field,Deccan Chargers,MR Benson,RB Tiffin,,"MA Chidambaram Stadium, Chepauk",,7,Deccan Chargers
Jaipur,2019-04-02,,,20,S Gopal,,2019,Rajasthan Royals,Royal Challengers Bangalore,field,Rajasthan Royals,AY Dandekar,M Erasmus,,Sawai Mansingh Stadium,,7,Rajasthan Royals
Mumbai,2016-04-16,,,20,AJ Finch,,2016,Mumbai Indians,Gujarat Lions,field,Gujarat Lions,HDPK Dharmasena,VK Sharma,,Wankhede Stadium,,3,Gujarat Lions
Chandigarh,2018-04-15,,,20,CH Gayle,,2018,Kings XI Punjab,Chennai Super Kings,field,Chennai Super Kings,VA Kulkarni,CK Nandan,,"Punjab Cricket Association IS Bindra Stadium, Mohali",4,,Kings XI Punjab
Chennai,2010-03-14,,,20,WPUJC Vaas,,2010,Chennai Super Kings,Deccan Chargers,bat,Deccan Chargers,K Hariharan,DJ Harper,,"MA Chidambaram Stadium, Chepauk",31,,Deccan Chargers
Bangalore,2010-04-08,,,20,TL Suman,,2010,Royal Challengers Bangalore,Deccan Chargers,field,Deccan Chargers,S Asnani,DJ Harper,,M Chinnaswamy Stadium,,7,Deccan Chargers
,2014-04-25,,,20,AJ Finch,,2014,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,M Erasmus,S Ravi,,Dubai International Cricket Stadium,4,,Sunrisers Hyderabad
Jaipur,2008-05-01,,,20,SA Asnodkar,,2008,Rajasthan Royals,Kolkata Knight Riders,bat,Rajasthan Royals,RE Koertzen,GA Pratapkumar,,Sawai Mansingh Stadium,45,,Rajasthan Royals
,2014-04-19,,,20,JP Duminy,,2014,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,Aleem Dar,VA Kulkarni,,Dubai International Cricket Stadium,,4,Delhi Daredevils
Jaipur,2018-04-18,,,20,N Rana,,2018,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,A Deshmukh,S Ravi,,Sawai Mansingh Stadium,,7,Kolkata Knight Riders
Delhi,2016-04-27,,,20,CH Morris,,2016,Delhi Daredevils,Gujarat Lions,field,Delhi Daredevils,M Erasmus,S Ravi,,Feroz Shah Kotla,1,,Gujarat Lions
Rajkot,2017-04-29,,Mumbai Indians,20,KH Pandya,tie,2017,Gujarat Lions,Mumbai Indians,bat,Gujarat Lions,AK Chaudhary,CB Gaffaney,,Saurashtra Cricket Association Stadium,,,
Chennai,2012-05-25,,,20,M Vijay,,2012,Delhi Daredevils,Chennai Super Kings,field,Delhi Daredevils,BR Doctrove,SJA Taufel,,"MA Chidambaram Stadium, Chepauk",86,,Chennai Super Kings
Kolkata,2015-05-07,,,20,PP Chawla,,2015,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,AK Chaudhary,M Erasmus,,Eden Gardens,13,,Kolkata Knight Riders
Dharamsala,2011-05-15,,,20,PP Chawla,,2011,Kings XI Punjab,Delhi Daredevils,field,Delhi Daredevils,Asad Rauf,SL Shastri,,Himachal Pradesh Cricket Association Stadium,29,,Kings XI Punjab
Mumbai,2011-04-10,,,20,SB Wagh,,2011,Pune Warriors,Kings XI Punjab,bat,Kings XI Punjab,BR Doctrove,PR Reiffel,,Dr DY Patil Sports Academy,,7,Pune Warriors
Bangalore,2014-05-11,,,20,JP Faulkner,,2014,Royal Challengers Bangalore,Rajasthan Royals,bat,Royal Challengers Bangalore,S Ravi,RJ Tucker,,M Chinnaswamy Stadium,,5,Rajasthan Royals
Jaipur,2013-04-17,,,20,AM Rahane,,2013,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,Aleem Dar,C Shamshuddin,,Sawai Mansingh Stadium,87,,Rajasthan Royals
Kolkata,2017-04-28,,,20,G Gambhir,,2017,Kolkata Knight Riders,Delhi Daredevils,field,Kolkata Knight Riders,NJ Llong,S Ravi,,Eden Gardens,,7,Kolkata Knight Riders
Pune,2012-05-22,,,20,YK Pathan,,2012,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,BR Doctrove,SJA Taufel,,Subrata Roy Sahara Stadium,18,,Kolkata Knight Riders
Indore,2018-05-14,,,20,UT Yadav,,2018,Kings XI Punjab,Royal Challengers Bangalore,field,Royal Challengers Bangalore,BNJ Oxenford,VK Sharma,,Holkar Cricket Stadium,,10,Royal Challengers Bangalore
Durban,2009-04-29,,,20,MV Boucher,,2009,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,MR Benson,TH Wijewardene,,Kingsmead,,5,Royal Challengers Bangalore
Hyderabad,2014-05-20,,,20,DA Warner,,2014,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,AK Chaudhary,NJ Llong,,"Rajiv Gandhi International Stadium, Uppal",,7,Sunrisers Hyderabad
Hyderabad,2015-05-11,,,20,DA Warner,,2015,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,AK Chaudhary,HDPK Dharmasena,,"Rajiv Gandhi International Stadium, Uppal",5,,Sunrisers Hyderabad
Hyderabad,2011-05-10,,,20,MR Marsh,,2011,Deccan Chargers,Pune Warriors,bat,Deccan Chargers,Asad Rauf,AM Saheba,,"Rajiv Gandhi International Stadium, Uppal",,6,Pune Warriors
Pune,2015-04-18,,,20,AD Russell,,2015,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,SD Fry,CK Nandan,,Maharashtra Cricket Association Stadium,,4,Kolkata Knight Riders
Bangalore,2011-04-12,,,20,SR Tendulkar,,2011,Royal Challengers Bangalore,Mumbai Indians,field,Mumbai Indians,HDPK Dharmasena,AL Hill,,M Chinnaswamy Stadium,,9,Mumbai Indians
Chandigarh,2016-04-11,,,20,AJ Finch,,2016,Kings XI Punjab,Gujarat Lions,field,Gujarat Lions,AK Chaudhary,VA Kulkarni,,"Punjab Cricket Association IS Bindra Stadium, Mohali",,5,Gujarat Lions
Mumbai,2008-06-01,,,20,YK Pathan,,2008,Chennai Super Kings,Rajasthan Royals,field,Rajasthan Royals,BF Bowden,RE Koertzen,,Dr DY Patil Sports Academy,,3,Rajasthan Royals
Mumbai,2015-05-14,,,20,HH Pandya,,2015,Mumbai Indians,Kolkata Knight Riders,field,Kolkata Knight Riders,RK Illingworth,VA Kulkarni,,Wankhede Stadium,5,,Mumbai Indians
